block,patch,corner,distance,plant_ID,sampling_round,temp,wind,cloud_cover,date,start_time,visitor_species,visitor_type,edge_type
8,C,IV,1,8.C.IV.1,1,33.4,0,30,9/8/23,2:04,0,0,edge
8,C,IV,3,8.C.IV.3,1,33.4,0,30,9/8/23,2:20,0,0,interior
8,C,II,3,8.C.II.3,1,33.4,0,30,9/8/23,2:33,0,0,interior
8,B,II,0,8.B.II.0,1,30.9,4.1,40,9/8/23,1:08,Syrphidae sp.,pollinator,edge
8,B,IV,2,8.B.IV.1-2,1,30.9,4.1,40,9/8/23,1:23,Halictidae sp.,pollinator,interior
8,B,IV,0,8.B.IV.0,1,30.9,4.1,40,9/8/23,1:38,0,0,edge
8,E,III,3,8.E.III.3RECRUIT,1,32.2,0,50,9/8/23,11:27,0,0,interior
8,E,IV,1,8.E.IV.1RECRUIT,1,32.2,0,50,9/8/23,11:57,0,0,edge
8,E,IV,0,8.E.IV.0,1,32.2,0,50,9/8/23,12:00,0,0,edge
8,D,II,1,8.D.II.1,1,26.3,3.2,60,9/8/23,10:48,0,0,edge
8,D,IV,3,8.D.IV.3,1,26.3,3.2,60,9/8/23,11:04,0,0,interior
10,E,III,0,10.E.III.0,1,29.7,0,10,9/11/23,10:02,0,0,edge
10,E,IV,1,10.E.IV.1,1,29.7,0,10,9/11/23,10:20,0,0,edge
10,E,I,0,10.E.I.0,1,29.7,0,10,9/11/23,10:35,0,0,edge
10,B,II,0,10.B.II.0,1,34.4,0,10,9/11/23,11:10,0,0,edge
10,D,IV,1,10.D.IV.1,1,33.6,0,15,9/11/23,12:33,0,0,edge
10,C,I,1,10.C.I.1,1,36,1.5,15,9/11/23,1:17,0,0,edge
53N,C,II,3,53N.C.II.3,1,29.9,3.9,0,9/12/23,11:17,0,0,interior
53N,D,II,1,53N.D.II.1,1,30.6,0,0,9/12/23,10:37,0,0,edge
53N,D,III,2,53N.D.III.2,1,30.6,0,0,9/12/23,10:54,0,0,interior
53S,B,IV,3,53S.B.IV.3,1,33.2,0,10,9/12/23,12:41,0,0,interior
53S,E,III,2,53S.E.III.2RECRUIT,1,34.1,2.4,15,9/12/23,1:50,0,0,interior
53S,C,II,3,53S.C.II.3,1,32.5,2.8,15,9/12/23,1:09,0,0,interior
52,E,IV,3,52.E.IV.3,1,27.4,3.4,30,9/13/23,10:01,0,0,interior
52,C,I,1,52.C.I.1,1,28.8,2.2,60,9/13/23,10:52,0,0,edge
54S,E,II,1,54S.E.II.1,1,26,2.7,80,9/14/23,10:29,0,0,edge
54S,B,I,0,54S.B.I.0,1,30.1,2.8,50,9/14/23,11:10,Phoebis sennae,pollinator,edge
54S,B,II,0,54S.B.II.0,1,30.1,2.8,50,9/14/23,11:23,Papilio palamedes,pollinator,edge
10,C,I,1,10.C.I.1,2,24.6,2,0,9/16/23,9:45,Thomisidae spp.,spider,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Coleoptera spp.,florivore,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Coleoptera spp.,florivore,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Halictidae sp.,pollinator,edge
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Lerema accius,pollinator,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,0,10.B.I.0,2,26.6,1.6,0,9/16/23,10:38,0,0,edge
10,B,III,2,10.B.III.2,2,26.6,1.6,0,9/16/23,11:11,0,0,interior
10,D,I,3,10.D.I.3,2,33.3,0,40,9/16/23,12:30,Coleoptera spp.,florivore,interior
10,D,IV,1,10.D.IV.1,2,33.3,0,40,9/16/23,12:34,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,2,33.3,0,40,9/16/23,12:34,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Syrphidae sp.,pollinator,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
