block,patch,corner,distance,plant_ID,sampling_round,date,start_time,focal_count,floral_species,floral_code,number_individuals,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,notes
8,D,II,1,8.D.II.1,1,9/8/23,7:55,4,Chamaecrista spp.,CHASPP,87,8,12,2,2,1,2,1,4,10,4,
8,D,II,1,8.D.II.1,1,9/8/23,7:55,4,Croptilon divaricatum,CRODIV,6,2,2,3,1,1,1,,,,,
8,D,II,1,8.D.II.1,1,9/8/23,7:55,4,Centrosema virginianum,CENVIR,4,1,1,1,1,,,,,,,
8,D,II,1,8.D.II.1,1,9/8/23,7:55,4,Eupatorium spp.,EUPSPP,1,292,,,,,,,,,,
8,D,IV,3,8.D.IV.3,1,9/8/23,8:21,1,Chamaecrista spp.,CHASPP,28,2,3,1,9,20,9,7,34,11,3,
8,D,IV,3,8.D.IV.3,1,9/8/23,8:21,1,Desmodium spp.,DESSPP,3,1,52,36,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Carphephorus bellidifolius,CARBEL,1,2,,,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Hypericum hypericoides,HYPHYP,1,1,,,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Eupatorium spp.,EUPSPP,6,14,3,33,3,49,29,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Chamaecrista spp.,CHASPP,10,3,1,2,2,2,6,5,8,2,3,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Centrosema virginianum,CENVIR,3,1,1,1,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Croptilon divaricatum,CRODIV,1,1,,,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Desmodium spp.,DESSPP,1,19,,,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Pityopsis graminifolia,PITGRA,1,1,,,,,,,,,,
8,E,IV,1,8.E.IV.1RECRUIT,1,9/8/23,12:28,3,Hieracium gronovii,HIEGRO,1,1,,,,,,,,,,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Hypericum gentianoides,HYPGEN,46,6,2,2,9,13,2,1,1,2,6,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Chamaecrista spp.,CHASPP,12,16,1,2,23,21,6,3,1,1,4,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Eupatorium spp.,EUPSPP,2,41,36,,,,,,,,,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Erigeron canadensis,ERICAN,1,2,,,,,,,,,,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Rhus copallinum,RHUCOP,1,127,,,,,,,,,,
8,E,III,3,8.E.III.3RECRUIT,1,9/8/23,11:39,3,Desmodium spp.,DESSPP,2,19,24,,,,,,,,,
8,E,IV,0,8.E.IV.0,1,9/8/23,12:20,2,Carphephorus bellidifolius,CARBEL,2,2,3,,,,,,,,,
8,E,IV,0,8.E.IV.0,1,9/8/23,12:20,2,Chamaecrista spp.,CHASPP,25,2,3,1,2,3,4,2,2,6,2,
8,E,IV,0,8.E.IV.0,1,9/8/23,12:20,2,Croptilon divaricatum,CRODIV,2,2,1,,,,,,,,,
8,E,IV,0,8.E.IV.0,1,9/8/23,12:20,2,Centrosema virginianum,CENVIR,1,1,,,,,,,,,,
8,E,IV,0,8.E.IV.0,1,9/8/23,12:20,2,Eupatorium spp.,EUPSPP,1,42,,,,,,,,,,
8,C,II,3,8.C.II.3,1,9/8/23,9:09,3,Hypericum gentianoides,HYPGEN,33,10,5,12,2,2,3,2,1,5,,
8,C,II,3,8.C.II.3,1,9/8/23,9:09,3,Chamaecrista spp.,CHASPP,9,1,1,1,1,2,2,2,4,2,,
8,C,II,3,8.C.II.3,1,9/8/23,9:09,3,Eupatorium spp.,EUPSPP,3,22,3,2,,,,,,,,
8,B,IV,0,8.B.IV.0,1,9/8/23,9:36,5,Desmodium spp.,DESSPP,1,9,,,,,,,,,,
8,C,IV,1,8.C.IV.1,1,9/8/23,8:50,2,Centrosema virginianum,CENVIR,1,1,,,,,,,,,,
8,C,IV,1,8.C.IV.1,1,9/8/23,8:50,2,Chamaecrista spp.,CHASPP,5,3,6,2,6,2,,,,,,
8,C,IV,1,8.C.IV.1,1,9/8/23,8:50,2,Carphephorus bellidifolius,CARBEL,1,1,,,,,,,,,,
8,C,IV,1,8.C.IV.1,1,9/8/23,8:50,2,Hypericum gentianoides,HYPGEN,3,7,6,2,,,,,,,,
