block,patch,corner,distance,plant_ID,seed_head,collection_date,count_date,viable,nonviable,no_predation
52,B,I,2,52.B.I.1-2,A,10/10/23,1/18/24,0,22,3
52,C,II,2,52.C.II.2,C,10/10/23,1/18/24,0,27,0
52,C,II,1,52.C.II.1,C,10/10/23,1/18/24,0,20,1
52,C,II,1,52.C.II.1,B,10/10/23,1/18/24,0,11,0
52,C,II,1,52.C.II.1,A,10/10/23,1/18/24,0,5,0
52,C,II,2,52.C.II.2,A,10/10/23,1/18/24,0,24,1
52,C,II,0,52.C.II.0,A,10/10/23,1/18/24,0,14,0
52,D,III,3,52.D.III.3,B,10/26/23,1/18/24,0,23,2
52,B,I,1,52.B.I.1,C,10/26/23,1/18/24,0,24,1
52,D,III,3,52.D.III.3,C,10/26/23,1/18/24,1,27,7
52,B,I,2,52.B.I.1-2,C,10/26/23,1/18/24,0,15,2
52,E,III,3,52.E.III.3,C,10/26/23,1/18/24,1,12,2
52,E,III,3,52.E.III.3,B,10/26/23,1/18/24,0,9,3
52,C,II,0,52.C.II.0,C,10/26/23,1/19/24,2,13,0
52,C,I,1,52.C.I.1,B,9/29/23,1/19/24,0,10,6
52,C,I,1,52.C.I.1,A,9/29/23,1/19/24,0,27,2
52,D,III,3,52.D.III.3,A,9/30/23,1/19/24,0,19,7
52,E,IV,3,52.E.IV.3,A,9/30/23,1/19/24,4,10,2
52,E,III,2,52.E.III.2,A,9/30/23,1/19/24,0,16,1
52,C,III,3,52.C.III.3,B,10/10/23,1/19/24,0,21,0
52,C,III,3,52.C.III.3,C,10/10/23,1/19/24,0,19,3
52,C,I,1,52.C.I.1,C,10/10/23,1/19/24,2,4,2
52,C,I,3,52.C.I.3,B,10/10/23,1/19/24,0,13,0
52,C,I,3,52.C.I.3,A,10/10/23,1/19/24,0,21,0
52,C,IV,3,52.C.IV.3,C,10/10/23,1/19/24,1,22,0
52,C,IV,3,52.C.IV.3,A,10/10/23,1/19/24,0,28,0
52,C,IV,3,52.C.IV.3,B,10/10/23,1/19/24,0,28,0
52,C,III,3,52.C.III.3,A,10/10/23,1/19/24,0,23,0
52,C,IV,2,52.B.IV.2,A,10/10/23,1/19/24,0,19,3
52,C,II,0,52.C.II.0,B,10/10/23,1/19/24,0,4,2
52,E,III,3,52.E.III.3,A,10/10/23,1/19/24,0,7,3
52,E,II,3,52.E.II.3RECRUIT,C,10/10/23,1/19/24,0,19,1
52,E,II,3,52.E.II.3RECRUIT,B,10/10/23,1/19/24,0,25,1
52,E,II,3,52.E.II.3RECRUIT,A,10/10/23,1/19/24,0,21,3
52,E,I,0,52.E.I.0,A,10/10/23,1/19/24,0,26,3
52,E,I,0,52.E.I.0,B,10/10/23,1/19/24,0,14,3
52,E,I,0,52.E.I.0,C,10/10/23,1/19/24,0,7,1
52,E,IV,3,52.E.IV.3,C,10/10/23,1/19/24,0,13,1
52,E,III,2,52.E.III.2,C,10/10/23,1/19/24,0,17,4
52,E,III,2,52.E.III.2,B,10/10/23,1/19/24,0,16,5
52,B,IV,2,52.B.IV.2,B,10/10/23,1/19/24,0,19,3
52,C,I,3,52.C.I.3,C,10/10/23,1/19/24,0,15,2
52,C,II,2,52.C.II.2,B,10/10/23,1/19/24,0,24,0
52,B,I,1,52.B.I.1,A,10/10/23,1/19/24,0,23,0
52,B,IV,2,52.B.IV.2,C,10/10/23,1/19/24,0,11,2
52,B,I,1,52.B.I.1,B,10/10/23,1/19/24,0,9,5
52,B,I,2,52.B.I.1-2,B,10/10/23,1/19/24,0,16,5
57,B,II,1,57.B.II.1,A,10/9/23,1/19/24,0,25,1
57,C,III,1,57.C.III.1,B,10/9/23,1/19/24,0,11,3
57,C,III,1,57.C.III.1,A,10/9/23,1/19/24,0,8,5
57,C,III,1,57.C.III.1,C,10/9/23,1/19/24,0,6,6
57,E,I,0,57.E.I.0,A,10/9/23,1/19/24,0,18,6
57,E,I,0,57.E.I.0,B,10/9/23,1/19/24,0,5,1
57,B,II,1,57.B.II.1,B,10/26/23,1/19/24,3,27,0
53N,D,II,1,53N.D.II.1,A,10/9/23,1/21/24,0,9,5
53N,D,II,1,53N.D.II.1,B,10/9/23,1/21/24,0,15,0
53N,D,III,2,53N.D.III.2,B,10/9/23,1/21/24,0,16,1
53N,D,III,2,53N.D.III.2,C,10/9/23,1/21/24,4,13,2
53N,E,III,1,53N.E.III.1,A,10/9/23,1/21/24,0,17,4
53N,E,II,1,53N.E.II.1,B,10/9/23,1/21/24,0,14,2
53N,B,III,0,53N.B.III.0,B,10/9/23,1/21/24,0,15,1
53N,B,III,0,53N.B.III.0,C,10/9/23,1/21/24,0,5,4
53N,B,III,0,53N.B.III.0,A,10/9/23,1/21/24,0,14,4
53N,C,III,2,53N.C.III.2,A,10/9/23,1/21/24,0,9,3
53N,C,III,2,53N.C.III.2,B,10/9/23,1/21/24,0,16,4
53N,C,I,3,53N.C.I.3,C,9/29/23,1/21/24,0,18,1
53N,C,III,2,53N.C.III.2,C,10/9/23,1/21/24,0,22,0
53N,C,II,3,53N.C.II.3,B,10/9/23,1/21/24,0,9,6
53N,C,II,3,53N.C.II.3,C,10/9/23,1/21/24,0,14,5
53N,E,II,1,53N.E.II.1,C,10/26/23,1/21/24,0,22,0
53N,E,II,1,53N.E.II.1,B,10/26/23,1/21/24,0,16,2
53N,E,III,1,53N.E.III.1,C,10/26/23,1/21/24,6,17,0
53N,D,II,2,53N.D.II.1,C,10/26/23,1/21/24,0,10,3
